date,basis,basis_z,signal,gross_return,transaction_cost,funding_cost,net_return,equity_curve
2023-01-01,0.0015000000000000568,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02,0.006938990161239111,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-03,0.011620314869134063,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-04,0.009174273967218483,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-05,0.007675424964102895,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-06,0.005318871193406238,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-07,0.007445021775957628,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-08,0.006982963148736587,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-09,0.009751187087813307,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-10,0.0020318404084038733,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-11,0.008276761890866347,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-12,0.007619962774609412,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-13,0.010096678076721766,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-14,0.009206545617744588,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-15,0.007381889524735286,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-16,0.008999054578136878,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-17,0.011997146505131617,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-18,0.010767141162152605,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-19,0.00978531080138545,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-20,0.012196692812567633,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-21,0.008287462532276635,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-22,0.0019584300160602197,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-23,0.0035200202664151803,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-24,0.0007569561610072384,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-25,-0.006894684445905241,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-26,-0.009815111723851189,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-27,-0.011232897490468297,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-28,-0.015496391500578355,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29,-0.020786391376806712,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-30,-0.019748384413955655,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-31,-0.015309452010486169,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-01,-0.015569602241908953,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-02,-0.017861202270267995,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-03,-0.015546778944465878,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-04,-0.011995964557909744,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-05,-0.012656168369546528,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-06,-0.009911250403081162,,0.0,-0.0,0.0,0.0,-0.0,1.0
2023-02-07,-0.005283298480626364,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-08,-0.00583979228623388,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-09,-0.008800262762711064,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-10,-0.006997649858140775,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-11,-0.005667560899963675,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-12,-0.000985607390307841,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-13,-0.00602450620991668,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-14,-0.008369977682941787,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-15,-0.011327846418486942,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-16,-0.01775079194667928,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-17,-0.016475022048024535,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-18,-0.013644804316121473,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-19,-0.01599417226937927,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-20,-0.009751817080619674,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-21,-0.006014047050753035,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-22,-0.0032039792533815614,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-23,-0.0014089917174811006,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-24,0.0025300462090118714,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-25,-0.002839074997520896,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-26,-0.00020979336462012554,,0.0,-0.0,0.0,0.0,-0.0,1.0
2023-02-27,0.002269705704097902,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-28,-0.004831956832637374,,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-01,-0.0031905581511146863,,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-02,-0.004004621211909587,-0.14791844727600198,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-03,-0.0006583455791862036,0.20335199338865656,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-04,-0.002328260506569535,0.04594610397291816,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-05,-0.00224809351690336,0.07968398189841165,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-06,-0.000726763706956568,0.2632164431476006,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-07,-0.0041427399136555465,-0.08680325935189723,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-08,-0.0015226437243871516,0.21406605694151284,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-09,-0.0018215907295067169,0.20019493918937814,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-10,0.00028120339439041686,0.45244466304502473,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-11,-0.0017573947667317569,0.2478813213976883,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-12,0.0027177071970463373,0.7638239741426067,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-13,0.005089806822883958,1.0558960552040577,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-14,0.004234114451090676,0.9682261926300559,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-15,0.0066525785014217576,1.278323419409488,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-16,0.011485496006798712,1.8638532446422904,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-17,0.018250778220519237,2.6206233126195064,1.0,0.0,5.6e-05,0.0,-5.6e-05,0.999944
