,adv_usd_proxy,participation_rate,max_trade_usd,avg_abs_trade_weight,capacity_usd_proxy
BTC,100000000.0,0.05,5000000.0,0.004716664890825258,1060071070.4985378
QQQ,100000000.0,0.05,5000000.0,0.0022152648625974694,2257066450.3464108
SMH,100000000.0,0.05,5000000.0,0.0007054324149492862,7087851215.85241
ETH,100000000.0,0.05,5000000.0,0.0006209592019408465,8052058789.647034
COIN,100000000.0,0.05,5000000.0,0.0005093521981410432,9816390344.928804
MSTR,100000000.0,0.05,5000000.0,0.0004875183904775877,10256023357.604725
CLSK,100000000.0,0.05,5000000.0,0.00041876729948156114,11939805247.902735
RIOT,100000000.0,0.05,5000000.0,0.0004009201690293132,12471310715.31207
MARA,100000000.0,0.05,5000000.0,0.000374541917457351,13349640632.865475
AMD,100000000.0,0.05,5000000.0,0.0003702004879391503,13506195056.182228
HOOD,100000000.0,0.05,5000000.0,0.00036608299518570484,13658105035.618013
OP,100000000.0,0.05,5000000.0,0.0003626930414295683,13785762142.809002
LINK,100000000.0,0.05,5000000.0,0.000357504282935731,13985846432.219824
SQ,100000000.0,0.05,5000000.0,0.00035456945445962087,14101609535.486399
DOGE,100000000.0,0.05,5000000.0,0.00035439450782532363,14108570786.498852
UNI,100000000.0,0.05,5000000.0,0.0003422143898721705,14610724002.189627
ADA,100000000.0,0.05,5000000.0,0.0003276614845525035,15259651303.93229
BNB,100000000.0,0.05,5000000.0,0.00032749127192882577,15267582462.737078
AAVE,100000000.0,0.05,5000000.0,0.00032689247631875675,15295549338.750887
TSLA,100000000.0,0.05,5000000.0,0.0003026385021132571,16521361178.72021
META,100000000.0,0.05,5000000.0,0.0002972674724838908,16819869184.547106
AAPL,100000000.0,0.05,5000000.0,0.0002940813515964584,17002098136.64436
BCH,100000000.0,0.05,5000000.0,0.0002938200364343534,17017219317.911026
AMZN,100000000.0,0.05,5000000.0,0.0002893534640465072,17279903720.787525
SOL,100000000.0,0.05,5000000.0,0.000287721622217247,17377908415.3248
GOOGL,100000000.0,0.05,5000000.0,0.000274740055033541,18199020886.81458
AVAX,100000000.0,0.05,5000000.0,0.0002707434541944543,18467667168.081867
ARB,100000000.0,0.05,5000000.0,0.0002450797625656611,20401521315.57747
XRP,100000000.0,0.05,5000000.0,0.000233366538497714,21425522408.599205
DOT,100000000.0,0.05,5000000.0,0.00021343565829120046,23426263633.878185
SPY,100000000.0,0.05,5000000.0,0.00021211304479599032,23572336179.55456
MSFT,100000000.0,0.05,5000000.0,0.00020223692745640929,24723476878.76001
NVDA,100000000.0,0.05,5000000.0,0.00019469853772185103,25680727028.07387
LTC,100000000.0,0.05,5000000.0,0.00017224283710154213,29028783339.49153
