date,gross_return,transaction_cost,borrow_cost,funding_cost,net_return,gross_leverage,equity_curve
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
